Rango -> 1           Palabra -> que                 Aparece 21475 veces       
Rango -> 2           Palabra -> de                  Aparece 18298 veces       
Rango -> 3           Palabra -> y                   Aparece 18188 veces       
Rango -> 4           Palabra -> la                  Aparece 10363 veces       
Rango -> 5           Palabra -> a                   Aparece 9823 veces        
Rango -> 6           Palabra -> el                  Aparece 9488 veces        
Rango -> 7           Palabra -> en                  Aparece 8241 veces        
Rango -> 8           Palabra -> no                  Aparece 6335 veces        
Rango -> 9           Palabra -> se                  Aparece 5078 veces        
Rango -> 10          Palabra -> los                 Aparece 4748 veces        
Rango -> 11          Palabra -> con                 Aparece 4202 veces        
Rango -> 12          Palabra -> por                 Aparece 3940 veces        
Rango -> 13          Palabra -> las                 Aparece 3468 veces        
Rango -> 14          Palabra -> lo                  Aparece 3461 veces        
Rango -> 15          Palabra -> le                  Aparece 3398 veces        
Rango -> 16          Palabra -> su                  Aparece 3352 veces        
Rango -> 17          Palabra -> don                 Aparece 2647 veces        
Rango -> 18          Palabra -> del                 Aparece 2623 veces        
Rango -> 19          Palabra -> como                Aparece 2538 veces        
Rango -> 20          Palabra -> me                  Aparece 2345 veces        
Rango -> 21          Palabra -> si                  Aparece 2312 veces        
Rango -> 22          Palabra -> mas                 Aparece 2284 veces        
Rango -> 23          Palabra -> mi                  Aparece 2207 veces        
Rango -> 24          Palabra -> quijote             Aparece 2175 veces        
Rango -> 25          Palabra -> sancho              Aparece 2148 veces        
Rango -> 26          Palabra -> es                  Aparece 2142 veces        
Rango -> 27          Palabra -> yo                  Aparece 2077 veces        
Rango -> 28          Palabra -> un                  Aparece 1938 veces        
Rango -> 29          Palabra -> dijo                Aparece 1808 veces        
Rango -> 30          Palabra -> al                  Aparece 1740 veces        
Rango -> 31          Palabra -> para                Aparece 1463 veces        
Rango -> 32          Palabra -> porque              Aparece 1400 veces        
Rango -> 33          Palabra -> ni                  Aparece 1376 veces        
Rango -> 34          Palabra -> una                 Aparece 1329 veces        
Rango -> 35          Palabra -> tan                 Aparece 1243 veces        
Rango -> 36          Palabra -> o                   Aparece 1213 veces        
Rango -> 37          Palabra -> todo                Aparece 1180 veces        
Rango -> 38          Palabra -> esta                Aparece 1157 veces        
Rango -> 39          Palabra -> sin                 Aparece 1156 veces        
Rango -> 40          Palabra -> asi                 Aparece 1065 veces        
Rango -> 41          Palabra -> señor               Aparece 1063 veces        
Rango -> 42          Palabra -> respondio           Aparece 1063 veces        
Rango -> 43          Palabra -> ser                 Aparece 1056 veces        
Rango -> 44          Palabra -> ha                  Aparece 1052 veces        
Rango -> 45          Palabra -> bien                Aparece 1051 veces        
Rango -> 46          Palabra -> sus                 Aparece 1049 veces        
Rango -> 47          Palabra -> habia               Aparece 1034 veces        
Rango -> 48          Palabra -> pero                Aparece 1014 veces        
Rango -> 49          Palabra -> merced              Aparece 900 veces         
Rango -> 50          Palabra -> quien               Aparece 888 veces         
Rango -> 51          Palabra -> esto                Aparece 886 veces         
Rango -> 52          Palabra -> pues                Aparece 865 veces         
Rango -> 53          Palabra -> vuestra             Aparece 852 veces         
Rango -> 54          Palabra -> este                Aparece 817 veces         
Rango -> 55          Palabra -> todos               Aparece 817 veces         
Rango -> 56          Palabra -> ya                  Aparece 785 veces         
Rango -> 57          Palabra -> cuando              Aparece 777 veces         
Rango -> 58          Palabra -> era                 Aparece 754 veces         
Rango -> 59          Palabra -> cual                Aparece 749 veces         
Rango -> 60          Palabra -> donde               Aparece 736 veces         
Rango -> 61          Palabra -> te                  Aparece 726 veces         
Rango -> 62          Palabra -> sino                Aparece 694 veces         
Rango -> 63          Palabra -> dos                 Aparece 684 veces         
Rango -> 64          Palabra -> caballero           Aparece 661 veces         
Rango -> 65          Palabra -> fue                 Aparece 651 veces         
Rango -> 66          Palabra -> ella                Aparece 604 veces         
Rango -> 67          Palabra -> tu                  Aparece 599 veces         
Rango -> 68          Palabra -> decir               Aparece 578 veces         
Rango -> 69          Palabra -> he                  Aparece 537 veces         
Rango -> 70          Palabra -> hacer               Aparece 535 veces         
Rango -> 71          Palabra -> muy                 Aparece 535 veces         
Rango -> 72          Palabra -> aquel               Aparece 534 veces         
Rango -> 73          Palabra -> aunque              Aparece 531 veces         
Rango -> 74          Palabra -> dios                Aparece 531 veces         
Rango -> 75          Palabra -> otra                Aparece 517 veces         
Rango -> 76          Palabra -> aqui                Aparece 516 veces         
Rango -> 77          Palabra -> señora              Aparece 516 veces         
Rango -> 78          Palabra -> otro                Aparece 511 veces         
Rango -> 79          Palabra -> son                 Aparece 485 veces         
Rango -> 80          Palabra -> estaba              Aparece 478 veces         
Rango -> 81          Palabra -> hay                 Aparece 471 veces         
Rango -> 82          Palabra -> os                  Aparece 463 veces         
Rango -> 83          Palabra -> mal                 Aparece 459 veces         
Rango -> 84          Palabra -> sobre               Aparece 454 veces         
Rango -> 85          Palabra -> nos                 Aparece 450 veces         
Rango -> 86          Palabra -> cosa                Aparece 447 veces         
Rango -> 87          Palabra -> buen                Aparece 442 veces         
Rango -> 88          Palabra -> verdad              Aparece 432 veces         
Rango -> 89          Palabra -> tal                 Aparece 428 veces         
Rango -> 90          Palabra -> alli                Aparece 421 veces         
Rango -> 91          Palabra -> tanto               Aparece 420 veces         
Rango -> 92          Palabra -> ver                 Aparece 408 veces         
Rango -> 93          Palabra -> tengo               Aparece 402 veces         
Rango -> 94          Palabra -> mundo               Aparece 394 veces         
Rango -> 95          Palabra -> luego               Aparece 390 veces         
Rango -> 96          Palabra -> entre               Aparece 389 veces         
Rango -> 97          Palabra -> tiene               Aparece 389 veces         
Rango -> 98          Palabra -> mis                 Aparece 388 veces         
Rango -> 99          Palabra -> hasta               Aparece 386 veces         
Rango -> 100         Palabra -> alguna              Aparece 385 veces         
Rango -> 101         Palabra -> poco                Aparece 380 veces         
Rango -> 102         Palabra -> todas               Aparece 374 veces         
Rango -> 103         Palabra -> dicho               Aparece 373 veces         
Rango -> 104         Palabra -> dar                 Aparece 368 veces         
Rango -> 105         Palabra -> ahora               Aparece 366 veces         
Rango -> 106         Palabra -> buena               Aparece 363 veces         
Rango -> 107         Palabra -> parte               Aparece 363 veces         
Rango -> 108         Palabra -> aquella             Aparece 358 veces         
Rango -> 109         Palabra -> vida                Aparece 356 veces         
